Accession	Up/Down	Gene	Effect
GSE72901	up	WSB1	Activate
GSE72901	up	GLCE	Activate
GSE72901	up	COMTD1	Activate
GSE72901	up	GTPBP2	Activate
GSE72901	up	ATG14	Activate
GSE72901	up	ATG13	Activate
GSE72901	up	ATG12	Activate
GSE72901	up	GTPBP4	Activate
GSE72901	up	ZFYVE19	Activate
GSE72901	up	IFT88	Activate
GSE72901	up	MTHFD2	Activate
GSE72901	up	TBPL1	Activate
GSE72901	up	ACOT2	Activate
GSE72901	up	GM10557	Activate
GSE72901	up	ZSCAN26	Activate
GSE72901	up	DUS3L	Activate
GSE72901	up	CPEB4	Activate
GSE72901	up	ATF3	Activate
GSE72901	up	AP5Z1	Activate
GSE72901	up	IFT172	Activate
GSE72901	up	RPL12	Activate
GSE72901	up	GHITM	Activate
GSE72901	up	PTPDC1	Activate
GSE72901	up	NRADD	Activate
GSE72901	up	ACCS	Activate
GSE72901	up	NXF1	Activate
GSE72901	up	KRTCAP2	Activate
GSE72901	up	FBXL20	Activate
GSE72901	up	TMEM68	Activate
GSE72901	up	LUC7L	Activate
GSE72901	up	VPS11	Activate
GSE72901	up	ABCB1B	Activate
GSE72901	up	ARL14EP	Activate
GSE72901	up	KLF11	Activate
GSE72901	up	TSPYL4	Activate
GSE72901	up	GABARAPL1	Activate
GSE72901	up	EDEM1	Activate
GSE72901	up	MTHFR	Activate
GSE72901	up	TMEM192	Activate
GSE72901	up	NR1D2	Activate
GSE72901	up	KLF15	Activate
GSE72901	up	EIF1	Activate
GSE72901	up	DHFR	Activate
GSE72901	up	EIF5	Activate
GSE72901	up	SLC6A9	Activate
GSE72901	up	VAMP1	Activate
GSE72901	up	HYOU1	Activate
GSE72901	up	ATF6	Activate
GSE72901	up	ATF4	Activate
GSE72901	up	FERMT3	Activate
GSE72901	up	ATF5	Activate
GSE72901	up	RPL3	Activate
GSE72901	up	ANAPC16	Activate
GSE72901	up	RSPH10B	Activate
GSE72901	up	EPRS	Activate
GSE72901	up	ADH7	Activate
GSE72901	up	WDR45	Activate
GSE72901	up	NUB1	Activate
GSE72901	up	ALKBH6	Activate
GSE72901	up	FAM122A	Activate
GSE72901	up	RNF215	Activate
GSE72901	up	HMOX1	Activate
GSE72901	up	SFN	Activate
GSE72901	up	AMZ1	Activate
GSE72901	up	TRP53INP1	Activate
GSE72901	up	CYB5R1	Activate
GSE72901	up	CDK5RAP3	Activate
GSE72901	up	SDF2L1	Activate
GSE72901	up	TRMT10B	Activate
GSE72901	up	CHKA	Activate
GSE72901	up	NSUN3	Activate
GSE72901	up	MFAP1B	Activate
GSE72901	up	H13	Activate
GSE72901	up	LYRM9	Activate
GSE72901	up	CARD6	Activate
GSE72901	up	CDC6	Activate
GSE72901	up	SIRT1	Activate
GSE72901	up	TRMT1	Activate
GSE72901	up	GLUD1	Activate
GSE72901	up	SLC7A5	Activate
GSE72901	up	CRLF1	Activate
GSE72901	up	TADA2A	Activate
GSE72901	up	ADI1	Activate
GSE72901	up	FXYD5	Activate
GSE72901	up	PQLC2	Activate
GSE72901	up	PIGB	Activate
GSE72901	up	CCDC9	Activate
GSE72901	up	GM4952	Activate
GSE72901	up	CEP44	Activate
GSE72901	up	GRAMD1B	Activate
GSE72901	up	SEL1L	Activate
GSE72901	up	SLC7A1	Activate
GSE72901	up	SLC7A3	Activate
GSE72901	up	EXTL1	Activate
GSE72901	up	RAD51AP1	Activate
GSE72901	up	D6ERTD527E	Activate
GSE72901	up	TCP11L2	Activate
GSE72901	up	TK2	Activate
GSE72901	up	GPRASP1	Activate
GSE72901	up	ZFP367	Activate
GSE72901	up	LIN52	Activate
GSE72901	up	PCMTD2	Activate
GSE72901	up	MEF2B	Activate
