Accession	Up/Down	Gene
GSE41018	up	ACTN2
GSE41018	up	ECH1
GSE41018	up	RPL23
GSE41018	up	CIDEA
GSE41018	up	MAPK14
GSE41018	up	RBP7
GSE41018	up	NISCH
GSE41018	up	MYL6
GSE41018	up	MYL7
GSE41018	up	FNDC5
GSE41018	up	HNRNPL
GSE41018	up	MYL1
GSE41018	up	CD9
GSE41018	up	MYL4
GSE41018	up	UQCRC1
GSE41018	up	RPL28
GSE41018	up	CALM3
GSE41018	up	CDO1
GSE41018	up	IFITM3
GSE41018	up	SPG7
GSE41018	up	UQCR11
GSE41018	up	TOB2
GSE41018	up	AQP1
GSE41018	up	LY6C1
GSE41018	up	RPL36AL
GSE41018	up	SNRPD3
GSE41018	up	CAPNS1
GSE41018	up	GM5796
GSE41018	up	TCEB2
GSE41018	up	APBB2
GSE41018	up	RABAC1
GSE41018	up	RPL18
GSE41018	up	S100A11
GSE41018	up	FIS1
GSE41018	up	COX8B
GSE41018	up	COX8A
GSE41018	up	H2-EB1
GSE41018	up	ATP6AP1
GSE41018	up	TALDO1
GSE41018	up	PPBP
GSE41018	up	RPS27
GSE41018	up	RPS26
GSE41018	up	FERMT2
GSE41018	up	HSPG2
GSE41018	up	NCEH1
GSE41018	up	PRKAR1A
GSE41018	up	RPS21
GSE41018	up	CRYAB
GSE41018	up	RPS25
GSE41018	up	OGDH
GSE41018	up	RPL5
GSE41018	up	ANAPC13
GSE41018	up	GABARAP
GSE41018	up	SPARC
GSE41018	up	RPL35
GSE41018	up	PTTG1IP
GSE41018	up	ENO3
GSE41018	up	MYLK
GSE41018	up	RPS16
GSE41018	up	RPS15
GSE41018	up	INPP5A
GSE41018	up	PRDX5
GSE41018	up	LGALS1
GSE41018	up	BLOC1S1
GSE41018	up	PCBP2
GSE41018	up	TSPAN7
GSE41018	up	RPL37
GSE41018	up	PDK4
GSE41018	up	RPL39
GSE41018	up	RPS10
GSE41018	up	RPS12
GSE41018	up	RPS14
GSE41018	up	GPIHBP1
GSE41018	up	PDK2
GSE41018	up	8430408G22RIK
GSE41018	up	TRP53INP2
GSE41018	up	MYBPC3
GSE41018	up	ANXA2
GSE41018	up	ANXA6
GSE41018	up	MRPS6
GSE41018	up	RHOB
GSE41018	up	MRPL23
GSE41018	up	CS
GSE41018	up	2010107E04RIK
GSE41018	up	PRPF19
GSE41018	up	TECR
GSE41018	up	HRC
GSE41018	up	TAX1BP3
GSE41018	up	ALDOA
GSE41018	up	MGLL
GSE41018	up	SGK1
GSE41018	up	LIMS2
GSE41018	up	RILPL1
GSE41018	up	OAZ1
GSE41018	up	MRPL33
GSE41018	up	MRPL42
GSE41018	up	STIP1
GSE41018	up	CSRP3
GSE41018	up	CSRP1
GSE41018	up	ANKRD1
GSE41018	up	SH3BGRL3
GSE41018	up	TIMP4
GSE41018	up	TIMP2
GSE41018	up	IL11RA1
GSE41018	up	MBNL1
GSE41018	up	MMD
GSE41018	up	DGAT2
GSE41018	up	AP3D1
GSE41018	up	TUBB4B
GSE41018	up	AES
GSE41018	up	MRPL54
GSE41018	up	PSMA4
GSE41018	up	COL4A1
GSE41018	up	COL4A2
GSE41018	up	ANGPTL4
GSE41018	up	PLIN4
GSE41018	up	TCAP
GSE41018	up	ENG
GSE41018	up	ERRFI1
GSE41018	up	ROBO4
GSE41018	up	NDUFA12
GSE41018	up	CDKN1A
GSE41018	up	NDUFA13
GSE41018	up	PYGB
GSE41018	up	RPLP1
GSE41018	up	GSTP1
GSE41018	up	CENPA
GSE41018	up	RCSD1
GSE41018	up	CRIP2
GSE41018	up	NUDT4
GSE41018	up	GNAI2
GSE41018	up	TMSB4X
GSE41018	up	UBL5
GSE41018	up	FCGRT
GSE41018	up	AKAP12
GSE41018	up	TUBA1B
GSE41018	up	PSMB6
GSE41018	up	GM6548
GSE41018	up	CAR3
GSE41018	up	CD74
GSE41018	up	RPS8
GSE41018	up	UQCC2
GSE41018	up	ANKRD23
GSE41018	up	HSD3B2
GSE41018	up	HNRNPAB
GSE41018	up	RBX1
GSE41018	up	AXL
GSE41018	up	TMEM259
GSE41018	up	WBP1L
GSE41018	up	MAPKAPK2
GSE41018	up	ZYX
GSE41018	up	MYADM
GSE41018	up	FKBP4
GSE41018	up	SEPW1
GSE41018	up	DLST
GSE41018	up	UCP1
GSE41018	up	PARK7
GSE41018	up	COX6A2
GSE41018	up	NDRG2
GSE41018	up	COX6A1
GSE41018	up	CTGF
GSE41018	up	ZFP36
GSE41018	up	SLN
GSE41018	up	NRAP
GSE41018	up	TPM1
GSE41018	up	RPS3
GSE41018	up	GRB10
